"Year.of.Observation","Cetacean.Common.Name","cnt_all","strand_anom","cnt_HI","mean_HI","strand_anom_HI","MEI","NPGO","PDO","SST_39","SST_44","Upwelling_39","Upwelling_45","Wind_39","Wind_44","SST_39_anom","SST_44_anom"
2014,"Pacific white-sided dolphin",3,0.769230769230769,1,1.2,-0.2,0.507916666666667,-0.249523118333333,1.13083333333333,13.16075,12.4470833333333,97.0734083333333,-32.4760166666667,-1.97883,-0.1809957,1.29683707264957,0.37855950091575
2014,"Short-beaked common dolphin",3,1.375,1,1,0,0.507916666666667,-0.249523118333333,1.13083333333333,13.16075,12.4470833333333,97.0734083333333,-32.4760166666667,-1.97883,-0.1809957,1.29683707264957,0.37855950091575
2014,"Striped dolphin",7,2.27272727272727,1,1.5,-0.5,0.507916666666667,-0.249523118333333,1.13083333333333,13.16075,12.4470833333333,97.0734083333333,-32.4760166666667,-1.97883,-0.1809957,1.29683707264957,0.37855950091575
2014,"Unidentified",3,-1.2,1,1,0,0.507916666666667,-0.249523118333333,1.13083333333333,13.16075,12.4470833333333,97.0734083333333,-32.4760166666667,-1.97883,-0.1809957,1.29683707264957,0.37855950091575
2015,"Bairds beaked whale",1,-0.25,1,1,0,1.63758333333333,-1.39516338,1.63416666666667,12.748875,13.0754166666667,91.819675,-19.0296583333333,-2.8482025,-1.23257833333333,0.989546474358975,1.00689283424908
2015,"Gray whale",5,-3.73333333333333,2,2.4,-0.4,1.63758333333333,-1.39516338,1.63416666666667,12.748875,13.0754166666667,91.819675,-19.0296583333333,-2.8482025,-1.23257833333333,0.989546474358975,1.00689283424908
2015,"Harbor porpoise",74,10.1333333333333,20,12.3571428571429,7.64285714285714,1.63758333333333,-1.39516338,1.63416666666667,12.748875,13.0754166666667,91.819675,-19.0296583333333,-2.8482025,-1.23257833333333,0.989546474358975,1.00689283424908
2015,"Humpback whale",4,1.07692307692308,2,1.71428571428571,0.285714285714286,1.63758333333333,-1.39516338,1.63416666666667,12.748875,13.0754166666667,91.819675,-19.0296583333333,-2.8482025,-1.23257833333333,0.989546474358975,1.00689283424908
2015,"Killer whale",1,-0.444444444444444,1,1,0,1.63758333333333,-1.39516338,1.63416666666667,12.748875,13.0754166666667,91.819675,-19.0296583333333,-2.8482025,-1.23257833333333,0.989546474358975,1.00689283424908
2015,"Striped dolphin",6,1.27272727272727,1,1.5,-0.5,1.63758333333333,-1.39516338,1.63416666666667,12.748875,13.0754166666667,91.819675,-19.0296583333333,-2.8482025,-1.23257833333333,0.989546474358975,1.00689283424908
